År,Art,Antall
1980,Gaupe,5
1980,Bjørn,1
1981,Gaupe,2
1981,Bjørn,19
1982,Gaupe,2
1982,Jerv,1
1982,Bjørn,26
1983,Gaupe,1
1983,Jerv,1
1983,Bjørn,37
1984,Bjørn,30
1984,Ulv,1
1985,Gaupe,2
1985,Bjørn,32
1985,Ulv,2
1986,Gaupe,3
1986,Bjørn,38
1986,Ulv,1
1987,Gaupe,5
1987,Jerv,1
1987,Bjørn,48
1988,Gaupe,4
1988,Jerv,1
1988,Bjørn,50
1988,Ulv,1
1989,Gaupe,12
1989,Bjørn,57
1989,Ulv,3
1990,Gaupe,15
1990,Bjørn,48
1990,Ulv,1
1991,Gaupe,9
1991,Bjørn,58
1991,Ulv,1
1992,Gaupe,33
1992,Jerv,2
1992,Bjørn,45
1992,Ulv,4
1993,Gaupe,37
1993,Jerv,6
1993,Bjørn,48
1993,Ulv,3
1994,Gaupe,76
1994,Jerv,16
1994,Bjørn,47
1994,Ulv,1
1995,Gaupe,101
1995,Jerv,14
1995,Bjørn,48
1996,Gaupe,160
1996,Jerv,21
1996,Bjørn,42
1996,Ulv,2
1997,Gaupe,220
1997,Jerv,17
1997,Bjørn,69
1997,Ulv,1
1998,Gaupe,243
1998,Jerv,21
1998,Bjørn,63
1998,Ulv,1
1999,Gaupe,230
1999,Jerv,28
1999,Bjørn,90
1999,Ulv,6
2000,Gaupe,308
2000,Jerv,30
2000,Bjørn,87
2000,Ulv,11
2001,Gaupe,244
2001,Jerv,43
2001,Bjørn,81
2001,Ulv,18
2002,Gaupe,239
2002,Jerv,37
2002,Bjørn,93
2002,Ulv,9
2003,Gaupe,168
2003,Jerv,35
2003,Bjørn,100
2003,Ulv,14
2004,Gaupe,121
2004,Jerv,53
2004,Bjørn,129
2004,Ulv,11
2005,Gaupe,126
2005,Jerv,53
2005,Bjørn,141
2005,Ulv,17
2006,Gaupe,170
2006,Jerv,82
2006,Bjørn,159
2006,Ulv,13
2007,Gaupe,207
2007,Jerv,91
2007,Bjørn,236
2007,Ulv,25
2008,Gaupe,264
2008,Jerv,92
2008,Bjørn,256
2008,Ulv,23
2009,Gaupe,346
2009,Jerv,95
2009,Bjørn,299
2009,Ulv,23
2010,Gaupe,381
2010,Jerv,132
2010,Bjørn,345
2010,Ulv,69
2011,Gaupe,320
2011,Jerv,121
2011,Bjørn,360
2011,Ulv,50
2012,Gaupe,240
2012,Jerv,151
2012,Bjørn,399
2012,Ulv,52
2013,Gaupe,270
2013,Jerv,139
2013,Bjørn,356
2013,Ulv,58
2014,Gaupe,171
2014,Jerv,123
2014,Bjørn,345
2014,Ulv,52
2015,Gaupe,149
2015,Jerv,167
2015,Bjørn,332
2015,Ulv,92
2016,Gaupe,207
2016,Jerv,106
2016,Bjørn,276
2016,Ulv,62
2017,Gaupe,225
2017,Jerv,128
2017,Bjørn,330
2017,Ulv,76
2018,Gaupe,203
2018,Jerv,90
2018,Bjørn,371
2018,Ulv,79
2019,Gaupe,225
2019,Jerv,115
2019,Bjørn,382
2019,Ulv,51
2020,Gaupe,246
2020,Jerv,160
2020,Bjørn,469
2020,Ulv,57
2021,Gaupe,255
2021,Jerv,115
2021,Bjørn,614
2021,Ulv,87
2022,Gaupe,277
2022,Jerv,125
2022,Bjørn,768
2022,Ulv,87
2023,Gaupe,344
2023,Jerv,120
2023,Bjørn,759
2023,Ulv,108
2024,Gaupe,274
2024,Jerv,163
2024,Bjørn,565
2024,Ulv,97
2025,Gaupe,91
2025,Jerv,38
2025,Ulv,36
